Slide 001 Tile Summary:
Original Dimensions: 15980x18263
Original Tile Size: 1024x1024
Scale Factor: 1/32x
Scaled Dimensions: 499x570
Scaled Tile Size: 32x32
Total Mask: 80.19%, Total Tissue: 19.81%
Tiles: 16x18 = 288
    30 (10.42%) tiles >=80% tissue
    63 (21.88%) tiles >=10% and <80% tissue
    20 ( 6.94%) tiles >0% and <10% tissue
   175 (60.76%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Original Col Start,Original Row Start,Original Col End,Original Row End,Original Col Size,Original Row Size,Color Factor,S and V Factor,Quantity Factor,Score
162,11,2,0.00,NONE,32,320,64,352,32,32,1025,10253,2049,11277,1024,1024,   0,0.16,0.00,0.0000
163,11,3,0.00,NONE,64,320,96,352,32,32,2050,10253,3074,11277,1024,1024,   0,0.16,0.00,0.0000
164,11,4,0.00,NONE,96,320,128,352,32,32,3074,10253,4098,11277,1024,1024,   0,0.16,0.00,0.0000
165,11,5,0.00,NONE,128,320,160,352,32,32,4099,10253,5123,11277,1024,1024,   0,0.16,0.00,0.0000
166,11,6,43.95,MEDIUM,160,320,192,352,32,32,5124,10253,6148,11277,1024,1024,  46,1.00,0.20,0.3088
167,11,7,99.61,HIGH,192,320,224,352,32,32,6149,10253,7173,11277,1024,1024,  23,0.49,1.00,0.7132
168,11,8,82.91,HIGH,224,320,256,352,32,32,7173,10253,8197,11277,1024,1024,  27,1.00,1.00,0.6960
169,11,9,97.17,HIGH,256,320,288,352,32,32,8198,10253,9222,11277,1024,1024,  17,1.00,1.00,0.7308
170,11,10,89.06,HIGH,288,320,320,352,32,32,9223,10253,10247,11277,1024,1024,  46,1.00,1.00,0.7530
171,11,11,5.37,LOW,320,320,352,352,32,32,10248,10253,11272,11277,1024,1024,  60,1.00,0.10,0.0056
172,11,12,0.00,NONE,352,320,384,352,32,32,11272,10253,12296,11277,1024,1024,   0,0.16,0.00,0.0000
173,11,13,0.00,NONE,384,320,416,352,32,32,12297,10253,13321,11277,1024,1024,   0,0.16,0.00,0.0000
174,11,14,0.00,NONE,416,320,448,352,32,32,13322,10253,14346,11277,1024,1024,   0,0.16,0.00,0.0000
175,11,15,0.00,NONE,448,320,480,352,32,32,14347,10253,15371,11277,1024,1024,   0,0.16,0.00,0.0000
176,11,16,0.00,NONE,480,320,499,352,19,32,15372,10253,15980,11277,608,1024,   0,0.16,0.00,0.0000
177,12,1,0.00,NONE,0,352,32,384,32,32,0,11278,1024,12302,1024,1024,   0,0.16,0.00,0.0000
178,12,2,0.00,NONE,32,352,64,384,32,32,1025,11278,2049,12302,1024,1024,   0,0.16,0.00,0.0000
179,12,3,0.00,NONE,64,352,96,384,32,32,2050,11278,3074,12302,1024,1024,   0,0.16,0.00,0.0000
180,12,4,31.84,MEDIUM,96,352,128,384,32,32,3074,11278,4098,12302,1024,1024, 108,1.00,0.20,0.2402
181,12,5,48.14,MEDIUM,128,352,160,384,32,32,4099,11278,5123,12302,1024,1024,  29,1.00,0.20,0.3060
